"usda_symbol","duration","growth_habit","native_status","usda_group","soil_ph_min","soil_ph_max","soil_texture_adapted","precip_min_in","precip_max_in","temp_min_f","moisture_use","shade_tolerance","drought_tolerance","salinity_tolerance","caco3_tolerance","fire_tolerance","anaerobic_tolerance","nitrogen_fixation","root_depth_min_in","height_mature_ft","growth_rate","lifespan","leaf_retention","bloom_period","foliage_color","flower_color"
"ACAMP","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACAN2","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACANT7","Perennial","Forb/herb, Shrub","I, N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACAP",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ACAR9",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ACCA34","Annual","Graminoid","I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ACCO22","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ACDA","Perennial","Forb/herb","N","Fern",,,,,,,,,,,,,,,,,,,,,,
"ACDU2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACGE5",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ACGLD3","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACGLD4","Perennial","Shrub, Tree","N, I?","Dicot",5.5,7.5,"Coarse, Medium",16,50,-13,"Medium","Tolerant","Low","None","Low","Low","None","None",24,30,"Moderate","Moderate","No","Late Spring","Green","Green"
"ACGLG2","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACGLT2","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACHE10","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ACHE6",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ACHYR3","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACLA12","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACLEP","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ACLOS3",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACME4",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ACMIC","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACMIO","Perennial","Forb/herb","N","Dicot",6,8,"Coarse, Medium",8,26,-38,"Medium","Intermediate","Medium","Low","Medium","High","None","None",8,3,"Moderate","Moderate","No","Late Spring","Green","White"
"ACMU2","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACNED","Perennial","Graminoid","N","Monocot",6.8,8,"Medium",6,20,-28,"Low","Intolerant","High","None","Medium","High","None","None",10,3,"Moderate","Short","No","Early Summer","Green","Yellow"
"ACNI6",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ACNO6",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ACOBC","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACOCP","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ACOD2",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACPH3","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACPO11","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACPU3",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACRAR","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACRE7",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ACRU","Perennial","Tree","N","Dicot",4.7,7.3,"Coarse, Medium, Fine",25,80,-47,"High","Intermediate","Medium","None","High","Low","Medium","None",30,68,"Rapid","Short","No","Early Spring","Green","Red"
"ACRUD","Perennial","Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACRUR","Perennial","Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACSA10",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACSA2","Perennial","Tree","N","Dicot",4,7.3,"Coarse, Medium, Fine",20,70,-47,"Medium","Intermediate","Low","Low","Medium","Low","High","None",32,90,"Rapid","Moderate","No","Early Spring","Green","Yellow"
"ACSAS","Perennial","Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACSC5",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ACSPA2","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACSPS2","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACTA80","Perennial","Shrub, Tree","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACTU2",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ACUNU","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACVE4",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ACWI","Perennial","Shrub","I, I?","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACWR4","Perennial","Shrub, Tree","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ADCO","Perennial","Forb/herb","N","Fern",,,,,,,,,,,,,,,,,,,,,,
"ADOLP","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ADRI","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ADSH","Perennial","Forb/herb","N","Fern",,,,,,,,,,,,,,,,,,,,,,
"ADWR","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AEAM","Perennial","Forb/herb, Subshrub","N, I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AENE2","Annual","Graminoid","I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"AESP2",,"Graminoid",,"Monocot",,,,,,,,,,,,,,,,,,,,,,
"AFROC",,,,"Gymnosperm",,,,,,,,,,,,,,,,,,,,,,
"AGAF",,,,"Monocot",,,,,,,,,,,,,,,,,,,,,,
"AGALA","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGAPA","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGAU3","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGAUA","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGCA5","Perennial","Graminoid","I","Monocot",4.9,7.5,"Coarse, Medium",32,60,-23,"High","Intolerant","Low","Medium","High","Medium","Medium","None",12,2,"Moderate","Short","No","Mid Summer","Green","Purple"
"AGCL3","Perennial","Forb/herb, Vine","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGDE2","Perennial","Graminoid","I","Monocot",6,8.2,"Medium",6,16,-43,"Medium","Intolerant","High","Medium","High","High","None","None",10,2,"Moderate","Long","No","Early Spring","Green","Green"
"AGDE6","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGDE7","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"AGDED","Perennial","Forb/herb, Shrub, Subshrub","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"AGEX","Perennial","Graminoid","N","Monocot",5.5,7.5,"Coarse, Medium, Fine",6,30,-38,"Medium","Intolerant","Low","Low","Low","Medium","Medium","None",10,3,"Moderate","Moderate","No","Late Spring","Green","Yellow"
"AGFA2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGGA","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGGI2","Perennial","Graminoid","I","Monocot",4.5,7.5,"Medium, Fine",28,60,-38,"High","Intolerant","Low","Low","Low","High","Medium","None",14,2,"Rapid","Short","No","Late Spring","Green","Yellow"
"AGGLL","Perennial","Forb/herb, Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGHA3","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGHE3","Annual","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"AGHE7","Perennial","Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGHO3","Annual, Perennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGLA10","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGLI3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGMAM","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGMI2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGMI7","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"AGNU","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGOB","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGPE","Perennial","Graminoid","N","Monocot",5.5,7.5,"Medium, Fine",32,56,-33,"High","Intermediate","Low","None","None","High","High","None",8,3.5,"Moderate","Short","No","Mid Summer","Green","Green"
"AGPRV","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGRIM","Perennial","Forb/herb","I, N, GP","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGTEM","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AGVA","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"AIAL","Perennial","Tree","I","Dicot",4.1,7.9,"Coarse, Medium, Fine",14,90,-18,"Medium","Intolerant","Medium","Medium","High","Medium","Medium","None",30,55,"Rapid","Short","No","Late Spring","Green","Green"
"ALAC4","Perennial","Forb/herb","N","Monocot",6,8,"Coarse, Medium",10,60,-28,"Low","Intolerant","Medium","None","High","High","None","None",6,1,"Rapid","Short","No","Summer","Green","Purple"
"ALAC8",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALAR9",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALAU6",,,,"Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALBE","Perennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALBI7",,"Nonvascular","N","Moss",,,,,,,,,,,,,,,,,,,,,,
"ALBIP","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALBOB","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALBR","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALBR3","Perennial","Shrub, Subshrub","N","Fern",,,,,,,,,,,,,,,,,,,,,,
"ALBR5","Perennial","Forb/herb, Shrub, Vine","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALCA8","Perennial","Tree","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALCAE","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALCE","Perennial","Forb/herb","I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALCEO","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALCR4","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALDE","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALDED","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALDI4","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALETE","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALETR","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALFL2","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALJE","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALLAL3","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALLAM","Perennial","Shrub, Vine","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALLE3","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALLEN","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALLO2","Perennial","Forb/herb, Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALLOP","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALLU3",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALMA7","Perennial","Shrub, Tree","N","Dicot",5,7,"Coarse, Medium, Fine",36,50,2,"High","Intermediate","Low","None","Low","Medium","Medium","Medium",20,30,"Moderate","Moderate","No","Late Summer","Green",
"ALMA8","Perennial","Graminoid","N","Monocot",5,7.5,"Medium, Fine",10,24,-33,"High","Intermediate","Low","Medium","Medium","None","High","None",6,0.5,"Moderate","Short","No","Mid Spring","Green","White"
"ALMO4","Perennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALNI","Perennial","Forb/herb","I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALNY2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALOD2",,,,"Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALPA11","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALPAP","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALRO3","Biennial, Perennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALSAS2",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ALSE4","Annual, Perennial","Forb/herb","I, N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALSH","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALSOP","Perennial","Shrub, Subshrub, Tree","N","Fern",,,,,,,,,,,,,,,,,,,,,,
"ALSP4","Perennial","Forb/herb","I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALSU","Perennial","Forb/herb","N","Monocot",5,7,"Medium, Fine",35,60,-33,"High","Intolerant","None","None","Medium","High","High","None",8,0.5,"Moderate","Moderate","No","Late Spring","Green","White"
"ALTE","Perennial","Forb/herb","N","Monocot",6,8,"Coarse, Medium, Fine",10,30,-38,"Medium","Intermediate","High","Low","Medium","High","None","None",8,1,"Rapid","Short","No","Mid Spring","Green","White"
"ALTE13","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALTO","Perennial","Forb/herb","N","Monocot",6,8,"Coarse, Medium, Fine",8,16,-33,"Medium","Intolerant","High","Low","Medium","High","None","None",8,1,"Rapid","Short","No","Early Spring","Green","Red"
"ALTR14","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALTR6","Perennial","Shrub","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALVA5",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ALVE2","Perennial","Forb/herb","I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALVI3","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALVIC3","Perennial","Forb/herb","I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ALVIS","Perennial","Shrub, Tree","N","Dicot",5,7.5,"Coarse, Medium",16,200,-48,"High","Intermediate","Low","None","Low","High","Low","Low",10,16,"Slow","Long","No","Summer","Yellow-Green",
"ALWR","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ALYO","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"AMALH","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMBL","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMBLY2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMBRC","Annual, Perennial","Forb/herb, Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMCA14","Perennial","Shrub, Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMCA6","Perennial","Shrub, Subshrub","N","Dicot",5.5,8,"Coarse, Medium",20,45,-38,"Low","Tolerant","High","Low","High","High","None","Medium",20,4,"Moderate","Long","No","Early Summer","Green","Purple"
"AMCR2","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMER","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMGR2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMHEH","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMIN8","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMLO","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMMOS","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMMU5",,"Graminoid",,"Monocot",,,,,,,,,,,,,,,,,,,,,,
"AMOB","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMPA2","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMPHI4","Annual, Perennial","Forb/herb, Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMPO","Annual","Forb/herb","N, I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMPO2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMPU9",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"AMRO3","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMSP3","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMTO3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AMTU","Annual","Forb/herb","N","Dicot",5,8,"Medium, Fine",15,60,-33,"High","Intolerant","None","None","Medium","None","High","None",12,6.6,"Rapid",,"No","Summer","Green","Green"
"ANAGA2",,"Nonvascular","N","Hornwort",,,,,,,,,,,,,,,,,,,,,,
"ANAL4","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANAM5",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ANANA","Perennial","Forb/herb","I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ANAR16","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANAR4","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANARN2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANBE","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANBI3",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ANBR2","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ANCA8","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANCE","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANCO29","Perennial","Forb/herb, Subshrub","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ANCR2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANCR8",,"Nonvascular","N","Moss",,,,,,,,,,,,,,,,,,,,,,
"ANDI3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANDI9",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ANDRO3","Annual, Perennial","Forb/herb","I, N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANEX5",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ANFI4",,"Nonvascular","N","Moss",,,,,,,,,,,,,,,,,,,,,,
"ANGLG2","Perennial","Graminoid","N, I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ANGLP","Perennial","Graminoid","N, I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ANHI3","Perennial","Forb/herb","N","Fern",,,,,,,,,,,,,,,,,,,,,,
"ANHOH","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANHOP","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANLA","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANLUL","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANMA15",,"Nonvascular","N","Hornwort",,,,,,,,,,,,,,,,,,,,,,
"ANMO3","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"ANMO9","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANMU","Perennial","Forb/herb","N","Dicot",6,7.5,"Coarse, Medium",40,60,-23,"Medium","Tolerant","Low","None","None","Low","None","None",6,2,"Rapid","Short","No","Early Summer","Green","Yellow"
"ANNAM2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANNAV3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANOC","Perennial","Tree","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANODA","Annual, Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANOGE",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANOR","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANPAF","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANPLH2","Perennial","Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANPU12",,"Nonvascular","N","Hornwort",,,,,,,,,,,,,,,,,,,,,,
"ANPU6","Perennial","Shrub, Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANQUB2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANQUW","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANROC","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANROP","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANROR","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANSC13",,"Nonvascular","N","Hornwort",,,,,,,,,,,,,,,,,,,,,,
"ANSEP2","Annual, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANSP11",,"Nonvascular","N","Moss",,,,,,,,,,,,,,,,,,,,,,
"ANST9",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ANSU8",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ANTO3","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANTR8",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANTU","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ANUR","Perennial","Forb/herb","N","Fern",,,,,,,,,,,,,,,,,,,,,,
"APAR2","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"APGRD","Perennial","Forb/herb","I, N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"APIN","Annual","Graminoid","I","Monocot",,,,,,,,,,,,,,,,,,,,,,
"APMI","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"APPR2","Biennial, Perennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AQCHC","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AQCOD","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"AQSCS","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ARAE2",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ARALA7","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
