scientific_name
Abelia ×grandiflora
Dimorphotheca cuneata
Dinebra decipiens
Dioscorea polystachya
Diphasiastrum ×habereri
Diphasiastrum ×issleri
Diphasiastrum ×verecundum
Diphasiastrum ×zeilleri
Diplacus bicolor
Diplacus brandegeei
Diplacus compactus
Diplacus cusickii
Diplacus fremontii
Diplacus ovatus
Diplacus thompsonii
Diplacus vandenbergensis
Diplacus viscidus
Diplacus ×australis
Diplacus ×linearis
Diplacus ×lompocensis
Disakisperma dubium
Dischidia ovata
Doryopteris ×subdecipiens
Draba abajoensis
Draba bifurcata
Draba cyclomorpha
Draba grandis
Draba heilii
Draba inexpectata
Draba malpighiacea
Draba mulliganii
Draba santaquinensis
Draba saxosa
Draba serpentina
Draba viridis
Drosera ×californica
Drosera ×hybrida
Drosera ×obovata
Drymocallis ashlandica
Drymocallis deseretica
Drynaria rigidula
Dryopteris erythrosora
Dryopteris rubiginosa
Dryopteris ×australis
Dryopteris ×benedictii
Dryopteris ×boottii
Dryopteris ×burgessii
Dryopteris ×correllii
Dryopteris ×dowellii
Dryopteris ×leedsii
Dryopteris ×mickelii
Dryopteris ×montgomeryi
Dryopteris ×neowherryi
Dryopteris ×pittsfordensis
Dryopteris ×separabilis
Dryopteris ×slossoniae
Dryopteris ×triploidea
Dryopteris ×uliginosa
Dubautia kalalauensis
Dubautia ×demissifolia
Dubautia ×fallax
Dubautia ×media
Dubautia ×molokaiensis
Dubautia ×montana
Echinocereus arizonicus
Echinocereus milleri
Echinocereus roetteri
Echium strictum
Ehretia acuminata
Elaeocarpus serratus
Elaeodendron fortunei
Eleutherococcus sieboldianus
Eleutherococcus trifoliatus
Elymus pringlei
Elymus ×ebingeri
Elymus ×hansenii
Elymus ×maltei
Elymus ×palmerensis
Elymus ×saundersii
Elymus ×yukonensis
Encelia actoni
Ephedra foeminea
Ephedra ×arenicola
Ephedra ×intermixta
Epidendrum ×obrienianum
Epilobium smithii
Epilobium ×pulchrum
Epilobium ×wisconsinense
Epimedium ×youngianum
Equisetum ×ferrissii
Equisetum ×font-queri
Equisetum ×litorale
Equisetum ×mackaii
Equisetum ×nelsonii
Eremogone aberrans
Eremogone franklinii
Eremogone loisiae
Eremothera boothii
Eremothera chamaenerioides
Eremothera gouldii
Eremothera minor
Eremothera nevadensis
Eremothera pygmaea
Eremothera refracta
Eremurus robustus
Erica canaliculat
Erica carnea
Ericameria arizonica
Ericameria linearis
Ericameria winwardii
Ericameria ×uintahensis
Ericameria ×viscosa
Erigeron coronarius
Erigeron denalii
Erigeron greenei
Erigeron higginsii
Erigeron katiae
Erigeron klamathensis
Erigeron laevigatus
Erigeron porsildii
Erigeron robustior
Erigeron sumatrensis
Erigeron tracyi
Eriodictyon lobbii
Eriogonum alexanderae
Eriogonum artificis
Eriogonum calcareum
Eriogonum callistum
Eriogonum cedrorum
Eriogonum clavatum
Eriogonum domitum
Eriogonum evanidum
Eriogonum mitophyllum
Eriogonum soliceps
Eriogonum terrenatum
Eriogonum villosissimum
Eriogonum wootonii
Eriogonum ×blissianum
Eriogonum ×duchesnense
Eriophorum ×beringianum
Eriophorum ×churchillianum
Eriophorum ×pylaieanum
Eriophorum ×rousseauanum
Eriophyllum staechadifolium
Erythrina speciosa
Eucalyptus conferruminata
Eucalyptus ×mortoniana
Eucommia ulmoides
Eudianthe coeli-rosa
Eugenia syzygioides
Eupatorium subvenosum
Eupatorium sullivaniae
Eupatorium ×cordigerum
Eupatorium ×pinnatifidum
Eupatorium ×truncatum
Euphorbia dioica
Euphorbia eleanoriae
Euphorbia ingens
Euphorbia jaegeri
Euphorbia meganoesos
Euphorbia umbellata
Euphorbia velleriflora
Euphorbia yaquiana
Euphorbia ×gayeri
Euphorbia ×pseudoesula
Euphrosyne nevadensis
Eurybia aberrans
Eurybia ×herveyi
Eutrema salsugineum
Ficus deltoidea
Ficus platypoda
Fimbristylis squarrosa
Flaveria mcdougallii
Flemingia macrophylla
Forsythia intermedia
Fragaria ×ananassa
Francoa ramosa
Frangula ×blumeri
Frasera ackermaniae
Fraxinus griffithii
Fraxinus parryi
Freesia leichtlinii
Froelichia latifolia
Froelichia texana
Fuirena wallichiana
Fumaria densiflora
Funastrum utahense
Gagea fragifera
Gahnia lacera
Gaillardia ×grandiflora
Galactia watsoniana
Galearis rotundifolia
Galium arvense
Galium azureum
Galium sherardia
Galium ×pomeranicum
Gamochaeta antillana
Gamochaeta argentina
Gamochaeta stachydifolia
Gamochaeta stagnalis
Gaultheria pyroloides
Gentiana ×billingtonii
Gentiana ×curtisii
Gentiana ×grandilacustris
Gentiana ×pallidocyanea
Geranium aequale
Geranium core-core
Geranium dodecatheoides
Geranium seemannii
Geum idahoense
Geum lobatum
Geum ×pulchrum
Gladiolus ×colvillei
Gladiolus ×gandavensis
Glandularia aristigera
Glandularia latilobata
Glandularia pubera
Glandularia quadrangulata
Glandularia ×hybrida
Glebionis coronaria
Gleditsia ×texana
Globba schomburgkii
Glyceria ×occidentalis
Glyceria ×pedicellata
Glycine microphylla
Gossypium armourianum
Grayia arizonica
Grayia plummeri
Greeneocharis similis
Grewia micrantha
Grewia truncata
Grindelia paysonorum
Gundlachia triantha
Guzmania lindenii
Gymnocarpium ×brittonianum
Gymnocarpium ×heterosporum
Gymnocarpium ×intermedium
Gyrandra blumbergiana
Halimolobos pubens
Hamatocactus bicolor
Handroanthus ochraceus
Hebecarpa barbeyana
Hebecarpa greggii
Hebecarpa macradenia
Hebecarpa obscura
Hebecarpa ovatifolia
Hebecarpa palmeri
Hebecarpa rectipilis
Helenium ×polyphyllum
Helianthus inexpectatus
Helianthus ×ambiguus
Helianthus ×cinereus
Helianthus ×divariserratus
Helianthus ×glaucus
Helianthus ×intermedius
Helianthus ×kellermanii
Helianthus ×laetiflorus
Helianthus ×luxurians
Helianthus ×multiflorus
Helianthus ×orgyaloides
Helichrysum luteoalbum
Heliotropium powelliorum
Hemiscola diffusa
Herrickia glauca
Herrickia kingii
Herrickia wasatchensis
Hesperidanthus argillaceus
Hesperidanthus barnebyi
Hesperidanthus jaegeri
Hesperidanthus suffrutescens
Hesperocyparis pygmaea
Heteranthemis viscidihirta
Heterosavia bahamensis
Heterotaxis crassifolia
Heuchera ×cuneata
Hibiscadelphus ×puakuahiwi
Hibiscus makinoi
Hibiscus ovalifolius
Hibiscus ×sabei
Hieracium brevipilum
Hieracium fuscoatrum
Hieracium ×alleghaniense
Hieracium ×atramentarium
Hieracium ×brachiatum
Hieracium ×fassettii
Hieracium ×grohii
Hieracium ×scribneri
Hippeastrum bifidum
Homalanthus populifolius
Homalosorus pycnocarpos
Horkelia howellii
Hosackia yollabolliensis
Hoya australis
Huperzia appressa
Huperzia erubescens
Huperzia ×bartleyi
Huperzia ×buttersii
Huperzia ×carlquistii
Huperzia ×gillettii
Huperzia ×josephbeitelii
Huperzia ×koolauensis
Huperzia ×medeirosii
Huperzia ×protoporophila
Huperzia ×sulcinervia
Hyacinthoides ×variabilis
Hylodesmum pauciflorum
Hymenachne hemitomon
Hypericum tetrapterum
Hypericum ×dissimulatum
Hypericum ×moserianum
Hypochaeris chillensis
Hypolepis tenuifolia
Iberis intermedia
Ilex ×attenuata
Impatiens ×pacifica
Inga feuilleei
Inga sertulifera
Ionactis linariifolia
Ipomoea ×leucantha
Ipomoea ×multifida
Iris ×flexicaulis
Iris ×fulvala
Iris ×nelsonii
Iris ×robusta
Isatis quadrialata
Isoetes ×altonharvillii
Isoetes ×brittonii
Isoetes ×bruntonii
Isoetes ×carltaylori
Isoetes ×dodgei
Isoetes ×eatonii
Isoetes ×echtuckeri
Isoetes ×fairbrothersii
Isoetes ×foveolata
Isoetes ×harveyi
Isoetes ×herb-wagneri
Isoetes ×hickeyi
Isoetes ×novae-angliae
Isoetes ×pseudotruncata
Isoetes ×truncata
Isolepis levynsiana
Isotrema californicum
Isotrema kaempferi
Jacobaea aquatica
Johnstonella angustifolia
Johnstonella costata
Johnstonella holoptera
Johnstonella inaequata
Johnstonella micromeres
Johnstonella pusilla
Johnstonella racemosa
Juglans ×bixbyi
Juglans ×intermedia
Juncus exiguus
Juncus gerardi
Juncus hesperius
Juncus laccatus
Juncus prismatocarpus
Juncus usitatus
Juncus ×alpiniformis
Juncus ×fulvescens
Juncus ×gracilescens
Juncus ×nodosiformis
Juncus ×oronensis
Juniperus bermudiana
Justicia brandegeana
Kadua acuminata
Kadua cookiana
Kadua coriacea
Kadua degeneri
Kadua fluviatilis
Kadua flynnii
Kadua foliosa
Kadua haupuensis
Kadua knudsenii
Kadua laxiflora
Kadua st-johnii
Kalanchoe beharensis
Kalanchoe lateritia
Kalanchoe ×houghtonii
Koanophyllon palmeri
Kopsiopsis hookeri
Kopsiopsis strobilacea
Krameria bicolor
Krigia ×shinnersiana
Labordia lorenceana
Laburnum ×watereri
Lactuca ×morssii
Ladeania juncea
Ladeania lanceolata
Lathyrus pannonicus
Laurentia fluviatilis
Leonurus japonicus
Lepidium chalepense
Lepidium coronopus
Lepidium eastwoodiae
Lepidium tiehmii
Leptochloa pluriflora
Leptosiphon croceus
Leptosyne calliopsidea
Leptosyne maritima
Leptosyne newberryi
Lespedeza ×acuticarpa
Lespedeza ×brittonii
Lespedeza ×manniana
Lespedeza ×neglecta
Lespedeza ×nuttallii
Lespedeza ×simulata
Lessingia pectinata
Leucaena diversifolia
Leucaena ×spontanea
Leucanthemum ×superbum
Leucosyris arida
Leucosyris blepharophylla
Leucosyris mattturneri
Leucosyris parviflora
Leucosyris riparia
Lewisia ×whiteae
Lewisiopsis tweedyi
Leymus californicus
Leymus salina
Leymus ×multiflorus
Leymus ×vancouverensis
Liatris ×fallacior
Liatris ×freemaniana
Liatris ×frostii
Liatris ×gladewitzii
Liatris ×johnsonii
Liatris ×macdanieliana
Liatris ×orzellii
Liatris ×ridgwayi
Liatris ×steelei
Liatris ×weaveri
Licuala spinosa
Lilium ×pseudograyi
Limonium gougetianum
Limonium platyphyllum
Limonium preauxii
Limonium sventenii
Linanthus bernardinus
Linaria triornithophora
Linum allredii
Linum radiola
Lipandra polysperma
Lithodora fruticosa
Lithospermum decipiens
Lithospermum helleri
Lithospermum molle
Lithospermum occidentale
Lithospermum parviflorum
Lithospermum subsetosum
Lithospermum virginianum
Llavea cordifolia
Lobelia pedunculata
Lobelia wahiawa
Lobelia ×rogersii
Lobelia ×speciosa
Logfia filaginoides
Lonicera ×bella
Lonicera ×heckrottii
Lonicera ×minutiflora
Lonicera ×notha
Lonicera ×purpusii
Lonicera ×salicifolia
Lonicera ×xylosteoides
Lorandersonia baileyi
Lorandersonia microcephala
Lorandersonia peirsonii
Lorandersonia pulchella
Lorandersonia salicina
Lorandersonia spathulata
Loropetalum chinense
Lupinus ×alpestris
Lupinus ×cymba-egressus
Lupinus ×inyoensis
Lupinus ×regalis
Luzula sylvatica
Lycianthes rantonnettii
Lycopodiella ×brucei
Lycopodiella ×copelandii
Lycopodiella ×gilmanii
Lycopus ×sherardii
Lysimachia borealis
Lysimachia europaea
Lysimachia latifolia
Lysimachia ×commixta
Lysimachia ×producta
Lythrum junceum
Maclura tricuspidata
Magnolia figo
Magnolia ×soulangiana
Majidea zanguebarica
Malaxis abieticola
Malaxis brachystachys
Malus ×arnoldiana
Malus ×dawsoniana
Malus ×magdeburgensis
Malus ×scheideckeri
Malus ×soulardii
Malva arborea
Malva assurgentiflora
Malva pseudolavatera
Mandevilla stans
Mauranthemum paludosum
Meconopsis cambrica
Medicago disciformis
Medinilla cumingii
Medinilla heterophylla
Melaleuca armillaris
Melaleuca viminalis
Melampodium appendiculatum
Melicope elleryana
Mentha ×gracilis
Mentha ×piperita
Mentha ×rotundifolia
Mentha ×smithiana
Mentzelia filifolia
Mentzelia flumensevera
Mentzelia hispida
Mentzelia holmgreniorum
Mentzelia lagarosa
Mentzelia librina
Mentzelia paradoxensis
Mentzelia procera
Mentzelia rhizomata
Mentzelia sivinskii
Mentzelia todiltoensis
Mentzelia uintahensis
Mentzelia wrightii
Metrosideros kermadecensis
Micranthes apetala
Micranthes bryophora
Micranthes calycina
